Date/Time,TEST_OFFICE_0:Zone Lights Electricity Energy [J](Hourly),TEST_OFFICE_0:Zone Electric Equipment Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT FAN:Fan Electricity Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electricity Energy [J](Hourly),PARALLEL PIU ELEC RHT COIL:Heating Coil Electricity Energy [J](Hourly),CHILLER ELECTRIC EIR 1:Chiller Electricity Energy [J](Hourly),BOILER HOT WATER 1:Boiler NaturalGas Energy [J](Hourly),PUMP VARIABLE SPEED 2:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 3:Pump Electricity Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electricity Energy [J](Hourly) 
 07/21  14:00:00,4393309.616407061,2835681.661499103,0.0,231599.43832742644,0.0,2493508.2946205814,0.0,64865.02379705521,632821.266374288,0.0 
 07/21  15:00:00,4393309.616407061,2835681.661499103,0.0,286365.55496981775,0.0,2493508.2946205814,0.0,74788.65073859322,632807.2025161177,0.0 
 07/21  16:00:00,4393309.616407061,2835681.661499103,0.0,340569.8005366656,0.0,2493508.2946205814,0.0,81612.5487719163,632791.8759914117,0.0 
 07/21  17:00:00,4393309.616407061,2835681.661499103,0.0,370516.92659136397,0.0,2493508.2946205814,0.0,79085.47448238051,632762.3835897634,0.0 
 07/21  18:00:00,3417018.5905388244,2520605.921332536,0.0,306911.18241962994,0.0,2395189.13478127,0.0,60131.015539416825,632701.7064917851,0.0 
 07/21  19:00:00,2440727.5646705893,1890454.440999402,0.0,210879.35591096373,0.0,1465901.9563574311,0.0,36945.824797151035,632580.9867647201,0.0 
 07/21  20:00:00,2440727.5646705893,1890454.440999402,0.0,150927.89306468665,0.0,734713.1383292332,0.0,19391.94581303553,632505.026275428,0.0 
 07/21  21:00:00,1464436.5388023537,1575378.7008328347,0.0,115620.31843923192,0.0,253384.67062186054,0.0,6909.40706623273,632470.05380211,0.0 
 07/21  22:00:00,1464436.5388023537,1575378.7008328347,1035639.5459141589,112835.35446080925,0.0,161606.52111711545,0.0,4511.5274987422235,632447.83065311,0.0 
 07/21  23:00:00,488145.51293411787,1260302.960666268,0.0,110785.63290393612,0.0,105819.44676184359,0.0,3055.132763095527,632426.5221544873,0.0 
